"id"	"name"
"287"	"ENSG00000219073.7"	"CELA3B"
"288"	"ENSG00000142789.19"	"CELA3A"
"289"	"ENSG00000070831.15"	"CDC42"
"290"	"ENSG00000162552.14"	"WNT4"
"291"	"ENSG00000184677.16"	"ZBTB40"
"292"	"ENSG00000070886.11"	"EPHA8"
"293"	"ENSG00000173372.16"	"C1QA"
"294"	"ENSG00000159189.11"	"C1QC"
"295"	"ENSG00000173369.15"	"C1QB"
"296"	"ENSG00000133216.16"	"EPHB2"
"297"	"ENSG00000215906.8"	"LACTBL1"
"298"	"ENSG00000227868.5"	"TEX46"
"299"	"ENSG00000004487.15"	"KDM1A"
"300"	"ENSG00000169641.13"	"LUZP1"
"301"	"ENSG00000179546.4"	"HTR1D"
"302"	"ENSG00000125944.19"	"HNRNPR"
"303"	"ENSG00000125945.14"	"ZNF436"
"304"	"ENSG00000204219.9"	"TCEA3"
"305"	"ENSG00000088280.18"	"ASAP3"
"306"	"ENSG00000007968.6"	"E2F2"
"307"	"ENSG00000117318.8"	"ID3"
"308"	"ENSG00000197880.8"	"MDS2"
"309"	"ENSG00000142676.12"	"RPL11"
"310"	"ENSG00000011007.12"	"ELOA"
"311"	"ENSG00000057757.9"	"PITHD1"
"312"	"ENSG00000011009.10"	"LYPLA2"
"313"	"ENSG00000117308.14"	"GALE"
"314"	"ENSG00000117305.14"	"HMGCL"
"315"	"ENSG00000179163.11"	"FUCA1"
"316"	"ENSG00000188822.7"	"CNR2"
"317"	"ENSG00000189266.11"	"PNRC2"
"318"	"ENSG00000188529.14"	"SRSF10"
"319"	"ENSG00000142661.18"	"MYOM3"
"320"	"ENSG00000142677.3"	"IL22RA1"
"321"	"ENSG00000185436.11"	"IFNLR1"
"322"	"ENSG00000158055.15"	"GRHL3"
"323"	"ENSG00000001460.17"	"STPG1"
"324"	"ENSG00000001461.16"	"NIPAL3"
"325"	"ENSG00000117602.11"	"RCAN3"
"326"	"ENSG00000184454.6"	"NCMAP"
"327"	"ENSG00000133226.16"	"SRRM1"
"328"	"ENSG00000169504.14"	"CLIC4"
"329"	"ENSG00000020633.18"	"RUNX3"
"330"	"ENSG00000117614.9"	"SYF2"
"331"	"ENSG00000117616.17"	"RSRP1"
"332"	"ENSG00000187010.19"	"RHD"
"333"	"ENSG00000183726.10"	"TMEM50A"
"334"	"ENSG00000188672.17"	"RHCE"
"335"	"ENSG00000204178.9"	"TMEM57"
"336"	"ENSG00000157978.11"	"LDLRAP1"
"337"	"ENSG00000117643.14"	"MAN1C1"
"338"	"ENSG00000162430.16"	"SELENON"
"339"	"ENSG00000255054.3"	"AL020996.2"
"340"	"ENSG00000117640.17"	"MTFR1L"
"341"	"ENSG00000127423.10"	"AUNIP"
"342"	"ENSG00000182749.5"	"PAQR7"
"343"	"ENSG00000117632.22"	"STMN1"
"344"	"ENSG00000158006.13"	"PAFAH2"
"345"	"ENSG00000158008.9"	"EXTL1"
"346"	"ENSG00000158014.14"	"SLC30A2"
"347"	"ENSG00000158022.6"	"TRIM63"
"348"	"ENSG00000175087.9"	"PDIK1L"
"349"	"ENSG00000197245.5"	"FAM110D"
"350"	"ENSG00000282872.1"	"C1orf232"
"351"	"ENSG00000236782.6"	"AL391650.1"
"352"	"ENSG00000142684.8"	"ZNF593"
"353"	"ENSG00000142675.17"	"CNKSR1"
"354"	"ENSG00000188782.8"	"CATSPER4"
"355"	"ENSG00000130695.14"	"CEP85"
"356"	"ENSG00000142669.14"	"SH3BGRL3"
"357"	"ENSG00000158062.20"	"UBXN11"
"358"	"ENSG00000169442.8"	"CD52"
"359"	"ENSG00000176092.14"	"CRYBG2"
"360"	"ENSG00000176083.17"	"ZNF683"
"361"	"ENSG00000131914.10"	"LIN28A"
"362"	"ENSG00000117682.16"	"DHDDS"
"363"	"ENSG00000198830.10"	"HMGN2"
"364"	"ENSG00000117676.13"	"RPS6KA1"
