id	name
ENSG00000228106.5	AL392172.1
ENSG00000278467.1	AC138393.3
ENSG00000232628.5	AC092809.2
ENSG00000282418.1	AC092811.2
ENSG00000227496.1	AC099066.2
ENSG00000272562.1	AL512343.2
ENSG00000225518.2	LINC01703
ENSG00000203684.5	IBA57-AS1
ENSG00000231563.1	AL670729.1
ENSG00000236975.1	AL137793.1
ENSG00000177788.5	AL162595.1
ENSG00000237481.1	AL117350.1
ENSG00000225656.1	AL118511.2
ENSG00000223393.1	AL118511.1
ENSG00000233461.5	AL445524.1
ENSG00000236358.1	AL355472.3
ENSG00000273367.1	AL355472.4
ENSG00000231663.1	AL355472.1
ENSG00000227630.3	LINC01132
ENSG00000237520.1	AL391832.1
ENSG00000238005.2	AL391832.2
ENSG00000280587.1	FP700125.1
ENSG00000273416.1	AL732292.2
ENSG00000229291.1	AL139161.1
ENSG00000237250.3	AL359924.1
ENSG00000215808.2	LINC01139
ENSG00000225554.1	AL359764.1
ENSG00000229960.1	AL590483.1
ENSG00000282317.1	AL451007.2
ENSG00000260698.1	AL591848.3
ENSG00000235021.1	AL591848.2
ENSG00000260855.1	AL591848.4
ENSG00000227953.6	LINC01341
ENSG00000221953.5	C1orf229
ENSG00000259865.1	AL390728.6
ENSG00000232347.1	AL390728.5
ENSG00000271868.1	AC114810.1
ENSG00000235078.1	AC231981.1
ENSG00000234171.2	RNASEH1-AS1
ENSG00000225964.5	NRIR
ENSG00000228203.6	RNF144A-AS1
ENSG00000235576.1	LINC01871
ENSG00000231435.1	AC011747.2
ENSG00000236008.1	LINC01814
ENSG00000231083.1	AC011747.1
ENSG00000235092.5	ID2-AS1
ENSG00000242136.1	AC093904.2
ENSG00000261104.1	AC093904.4
ENSG00000244310.1	AC093904.3
ENSG00000271855.1	AC073195.1
ENSG00000269973.1	AC010969.2
ENSG00000260077.1	AC104794.2
ENSG00000163009.8	C2orf48
ENSG00000257135.5	AC007249.2
ENSG00000217258.2	AC007249.1
ENSG00000243819.4	RN7SL832P
ENSG00000271952.1	LINC01954
ENSG00000261117.1	AC009486.1
ENSG00000226041.1	AC010745.1
ENSG00000260331.1	AC079148.1
ENSG00000236204.5	LINC01376
ENSG00000228784.7	LINC00954
ENSG00000234378.1	AC098828.3
ENSG00000261012.2	AC115619.1
ENSG00000235072.2	AC012074.1
ENSG00000234072.1	AC074117.1
ENSG00000229951.5	FLJ31356
ENSG00000270210.1	AC104695.2
ENSG00000226833.5	AC092164.1
ENSG00000235997.2	LINC01936
ENSG00000273165.1	AL121652.1
ENSG00000272716.1	AL121658.1
ENSG00000272754.1	AL133245.1
ENSG00000260025.1	AC009414.2
ENSG00000279519.1	AC007382.1
ENSG00000236213.1	AC006369.1
ENSG00000231367.5	AC011247.1
ENSG00000231312.6	AC007388.1
ENSG00000214691.7	LINC01913
ENSG00000234362.5	LINC01914
ENSG00000224875.2	AC083949.1
ENSG00000224739.2	AC016735.1
ENSG00000231826.5	LINC01819
ENSG00000230587.1	AC093609.1
ENSG00000279873.2	LINC01126
ENSG00000259439.2	LINC01833
ENSG00000231156.1	AC093702.1
ENSG00000228100.1	LINC01820
ENSG00000279254.1	AC020604.1
ENSG00000260977.1	AC016722.3
ENSG00000239332.5	LINC01119
ENSG00000234690.6	AC106869.1
ENSG00000226087.1	AC073283.2
ENSG00000233230.1	AC079807.2
ENSG00000272663.1	AC093635.1
ENSG00000228033.5	AC010967.1
ENSG00000233251.7	AC007743.1
ENSG00000212978.6	AC016747.1
ENSG00000270820.5	AC016727.1
ENSG00000228541.1	AC093159.1
ENSG00000228079.2	AC012368.2
ENSG00000225889.7	AC012368.1
ENSG00000223935.1	AC008074.1
ENSG00000223863.1	LINC01805
ENSG00000260101.1	AC008074.3
ENSG00000232613.6	AC007386.2
ENSG00000226819.1	MEIS1-AS3
ENSG00000179818.13	PCBP1-AS1
ENSG00000231327.1	LINC01816
ENSG00000273245.1	AC092653.1
ENSG00000280037.1	AC092653.2
ENSG00000237883.1	DGUOK-AS1
ENSG00000235499.1	AC073046.1
ENSG00000225439.2	BOLA3-AS1
ENSG00000257702.3	LBX2-AS1
ENSG00000272711.1	AC019069.1
ENSG00000204792.2	LINC01291
ENSG00000236209.1	AC104135.1
ENSG00000230836.1	LINC01293
ENSG00000273080.1	AC009309.1
ENSG00000280721.1	LINC01943
ENSG00000222041.10	CYTOR
ENSG00000273445.1	AC133644.2
ENSG00000234028.3	AC062029.1
ENSG00000240040.6	AC244205.1
ENSG00000283196.1	AC006453.2
ENSG00000261600.1	AC233266.2
ENSG00000272913.1	AC009237.14
ENSG00000273305.1	AC009237.15
ENSG00000232931.5	LINC00342
ENSG00000204685.6	STARD7-AS1
ENSG00000230747.1	AC021188.1
ENSG00000273265.1	AC092636.1
ENSG00000226791.6	AC109826.1
ENSG00000272861.1	AC012360.2
ENSG00000235319.1	AC012360.1
ENSG00000272994.1	AC012360.3
ENSG00000231221.1	LINC01593
ENSG00000225328.1	LINC01594
ENSG00000214184.3	GCC2-AS1
ENSG00000259863.1	SH3RF3-AS1
ENSG00000204588.5	LINC01123
ENSG00000282304.1	AC140479.5
ENSG00000175772.10	LINC01106
ENSG00000273471.1	AC112229.4
ENSG00000230499.1	AC108463.2
ENSG00000172965.14	MIR4435-2HG
ENSG00000271590.1	AC108463.3
ENSG00000270190.1	AC068491.3
ENSG00000279191.1	AC068491.4
ENSG00000240350.2	AC017002.3
ENSG00000224959.1	AC017002.1
ENSG00000278962.1	AC092645.1
ENSG00000243389.1	AC012442.2
ENSG00000228251.1	AC012442.1
ENSG00000237753.1	AC079922.2
ENSG00000280228.1	AC079753.1
ENSG00000279267.1	AL078621.3
ENSG00000227359.1	AC017074.1
ENSG00000244063.1	AC104653.2
ENSG00000228857.2	AC104653.1
ENSG00000270019.1	AC110769.2
ENSG00000236255.1	AC009404.1
ENSG00000279227.1	AC009303.4
ENSG00000226856.5	AC093901.1
ENSG00000237614.1	AC073257.2
ENSG00000236859.6	NIFK-AS1
ENSG00000236682.1	AC068282.1
ENSG00000272667.1	AC012306.2
ENSG00000283303.1	AC073869.5
ENSG00000273073.1	AC073869.3
ENSG00000231890.7	DARS-AS1
ENSG00000228043.5	AC114763.1
ENSG00000230569.1	AC114763.2
ENSG00000241772.2	AC092620.2
ENSG00000235949.1	AC061961.1
ENSG00000226383.6	LINC01876
ENSG00000234584.1	AC019186.1
ENSG00000224152.1	AC009506.1
ENSG00000226266.6	AC009961.1
ENSG00000279844.1	AC096656.1
ENSG00000227403.1	LINC01806
ENSG00000235192.1	AC009495.3
ENSG00000229195.1	AC009495.1
ENSG00000222033.1	LINC01124
ENSG00000239467.5	AC007405.3
ENSG00000232555.1	AC104088.1
ENSG00000278924.1	AC078883.4
ENSG00000238133.6	MAP3K20-AS1
ENSG00000270460.1	AC106900.2
ENSG00000271151.1	AC016737.1
ENSG00000226853.2	AC010894.2
ENSG00000237380.6	HOXD-AS2
ENSG00000224189.6	HAGLR
ENSG00000226363.3	HAGLROS
ENSG00000163364.9	LINC01116
ENSG00000224577.1	LINC01117
ENSG00000229337.1	AC079305.3
ENSG00000223960.6	AC009948.1
ENSG00000234663.5	LINC01934
ENSG00000260742.1	AC009962.1
ENSG00000272800.1	AC021851.1
ENSG00000237877.6	LINC01473
ENSG00000253559.1	OSGEPL1-AS1
ENSG00000273240.1	AC013468.1
ENSG00000233654.1	AC108047.1
ENSG00000284052.1	AC006460.2
ENSG00000227542.1	AC092614.1
ENSG00000224099.1	AC104823.1
ENSG00000280176.1	AC012486.1
ENSG00000232719.1	AC007272.1
ENSG00000273209.1	AC069148.1
ENSG00000272966.1	AC064836.2
ENSG00000273456.1	AC064836.3
ENSG00000227946.1	AC007383.2
ENSG00000234902.6	AC007879.3
ENSG00000229647.1	MYOSLID
ENSG00000223725.6	AC009226.1
ENSG00000224137.1	LINC01857
ENSG00000270659.1	AC079610.2
ENSG00000230838.1	LINC01614
ENSG00000226276.1	AC093382.1
ENSG00000279348.1	AC012513.3
ENSG00000260804.3	LINC01963
ENSG00000232485.2	AC098820.1
ENSG00000261338.2	AC021016.2
ENSG00000272555.1	AC009974.1
ENSG00000272644.1	AC097468.3
ENSG00000229525.1	AC053503.2
ENSG00000280323.1	AC053503.6
ENSG00000267034.1	AC010980.2
ENSG00000261428.2	AC097461.1
ENSG00000272622.1	AC010735.2
ENSG00000232023.2	LINC01807
ENSG00000225963.7	AC009950.1
ENSG00000238062.5	SPATA3-AS1
ENSG00000261829.1	AC009407.1
ENSG00000224376.1	AC017104.1
ENSG00000233538.1	AC017104.3
ENSG00000181798.2	LINC00471
ENSG00000237126.8	AC073254.1
ENSG00000222001.2	AC106876.1
ENSG00000279809.1	AC005538.2
ENSG00000231682.1	LINC01891
ENSG00000235726.5	AC010148.1
ENSG00000227252.1	AC105760.2
ENSG00000224132.2	AC112715.1
ENSG00000222022.1	AC112721.1
ENSG00000222032.1	AC112721.2
ENSG00000232306.2	AC012485.2
ENSG00000222020.2	AC062017.1
ENSG00000260942.1	CAPN10-AS1
ENSG00000219159.4	AC011298.1
ENSG00000234235.1	BOK-AS1
ENSG00000273113.1	AC133528.1
ENSG00000224272.2	AC131097.3
ENSG00000235151.1	AC131097.4
ENSG00000233806.7	LINC01237
ENSG00000237940.3	LINC01238
ENSG00000261186.2	LINC01238
ENSG00000224239.1	AC090044.1
ENSG00000231249.1	ITPR1-AS1
ENSG00000235831.6	BHLHE40-AS1
ENSG00000233912.1	AC026202.2
ENSG00000229642.1	AC087857.1
ENSG00000189229.10	AC069277.1
ENSG00000206573.8	THUMPD3-AS1
ENSG00000230082.1	PRRT3-AS1
ENSG00000269982.1	AC018809.2
ENSG00000225733.5	FGD5-AS1
ENSG00000229271.1	AC091493.1
ENSG00000237838.1	AC092422.1
ENSG00000271943.1	AC098614.4
ENSG00000272282.1	LINC02084
ENSG00000225548.5	LINC01980
ENSG00000235493.1	LINC01967
ENSG00000227260.1	LINC01985
ENSG00000261468.1	AC096921.2
ENSG00000261572.1	AC097639.1
ENSG00000271324.1	AC112220.3
ENSG00000271643.1	AC112220.4
ENSG00000271020.1	AC112220.2
ENSG00000236452.1	AC123023.1
ENSG00000281100.1	AC105749.1
ENSG00000270194.1	AC097359.2
ENSG00000229589.1	ACVR2B-AS1
ENSG00000223797.5	ENTPD3-AS1
ENSG00000236869.1	AC099669.1
ENSG00000272077.1	AC124045.1
ENSG00000279017.1	AC098476.1
ENSG00000223552.1	AC098613.1
ENSG00000283646.1	LINC02009
ENSG00000280173.1	AC104447.1
ENSG00000260236.1	AC099778.1
ENSG00000228350.1	CELSR3-AS1
ENSG00000271973.1	AC141002.1
ENSG00000224424.7	PRKAR2A-AS1
ENSG00000223343.1	AC137630.1
ENSG00000272434.1	AC137630.3
ENSG00000225399.4	AC121247.1
ENSG00000228008.1	AC105935.1
ENSG00000230454.1	U73166.1
ENSG00000232352.1	SEMA3B-AS1
ENSG00000273356.1	LINC02019
ENSG00000280422.1	AC115284.2
ENSG00000243224.1	AC006252.1
ENSG00000272146.5	ARF4-AS1
ENSG00000283148.1	AC137936.1
ENSG00000273493.1	AC098479.1
ENSG00000272360.1	AC116036.2
ENSG00000239653.1	PSMD6-AS2
ENSG00000271843.1	AC012557.1
ENSG00000241684.5	ADAMTS9-AS2
ENSG00000241316.6	SUCLG2-AS1
ENSG00000244513.6	AC109587.1
